Name,Segment ID,Designated Uses,Use Support (2008),Use Support (2012)
Saline Branch,IL_BPJC-06,Aquatic Life,Not Supporting,Fully Supporting
,IL_BPJC-08,Aquatic Life,Not Supporting,Not Supporting
Union Dr Branch,IL_BPJM-01,Aquatic Life,Not Assessed,Not Assessed
Boneyard Creek,IL_BPJCA,Aquatic Life,Not Supporting,Not Supporting
Embarras River,IL_BE-14,Aquatic Life,Not Supporting,Fully Supporting
,,Primary Contact,Not Supporting,Not Supporting
Kaskaskia River,IL_O-35,Aquatic Life,Fully Supporting,Fully Supporting
,,Fish Consumption,Not Supporting,Not Supporting
,IL_O-37,Aquatic Life,Fully Supporting,Not Supporting
,,Fish Consumption,Not Supporting,Not Supporting
Copper Slough,IL_OZYA,Aquatic Life,Fully Supporting,Not Supporting
Phinney Branch,IL_OZYB,Aquatic Life,Not Assessed,Not Assessed
