Scientific Name,Common Name,State Protection,Occurence,Last Observed
Bartramia longicauda,Upland Sandpiper,Endangered,2,1999
Circus cyaneus,Northern Harrier,Endangered,1,1994
Emydoidea blandingii,Blanding’s Turtle,Endangered,1,5/1/1953
Epioblasma rangiana,Northern Riffleshell,Endangered,1,8/8/2012
Etheostoma camurum,Bluebreast Darter,Endangered,1,8/13/2012
Hybopsis amblops,Bigeye Chub,Endangered,4,8/29/2012
Hybopsis amnis,Pallid Shiner,Endangered,2,8/18/1928
Lampsilis fasciola,Wavy-rayed Lampmussel,Endangered,3,7/25/2006
Lanius ludovicianus,Loggerhead Shrike,Endangered,1,5/23/1990
Myotis sodalis,Indiana Bat,Endangered,1,7/1/2010
Phlox pilosa ssp. Sangamonensis,Sangamon Phlox,Endangered,5,7/5/2012
Simpsonaias ambigua,Salamander Mussel,Endangered,1,8/16/2000
Tyto alba,Barn Owl,Endangered,1,8/2/2005
Alasmidonta viridis,Slippershell,Threatened,2,10/12/2010
Ammocrypta pellucidum,Eastern Sand Darter,Threatened,2,8/27/2012
Cyclonaias tuberculata,Purple Wartyback,Threatened,2,8/24/2011
Elliptio dilatata,Spike,Threatened,2,8/20/1988
Ixobrychus exilis,Least Bittern,Threatened,1,8/1/1993
Necturus maculosus,Mudpuppy,Threatened,3,6/4/2012
Spermophilus franklinii,Franklin’s Ground Squirrel,Threatened,4,6/22/2010
Tomanthera auriculata,Ear-leafed Foxglove,Threatened,1,9/19/1933
Villosa lienosa,Little Spectaclecase,Threatened,3,8/19/2011
,,,,"Total Number of Species = 22 (13 Endangered, 9 Threatened)"
