Destination,Intercity Buses,Willard Airport,Amtrak
"Atlanta, GA",X,,
"Atlantic, IA",X,,
"Bartlesville, OK",X,,
"Bedford, IN",X,,
"Bethany, MO",X,,
"Birmingham, AL",X,,
"Brookhaven, MS",X,,X
"Brush, CO",X,,
"Burlington,IA",X,,
"Cedar Rapids, IA",X,,
"Chanute, KS",X,,
"Chickasha, OK",X,,
"Coffeyville, KS",X,,
"Columbus, OH",X,,
"Dallas/Fort Worth, TX",X,X,
"Davenport, IA",X,,X
"Denver, CO",X,,
"Des Moines, IA",X,,
"Elkhart, IN",X,,
"Evansville, IN",X,,
"Fairfield, IA",X,,
"Fort Morgan, CO",X,,
"Fulton, KY",,,X
"Grand Island, NE",X,,
"Greenwood, MS",,,X
"Hammond, LA",,,X
"Iola, KS",X,,
"Indianapolis, IN",X,,X
"Iowa City, IA",X,,
"Jackson, MS",X,,X
"Kearney, NE",X,,
"Knoxville, TN",X,,
"Kokomo, IN",X,,
"Lamoni, IA",X,,
"Lawton, OK",X,,
"Lexington, NE",X,,
"Lincoln, NE",X,,
"Loogootee, IN",X,,
"Martinsville, IN",X,,
"McComb, MS",X,,X
"Milwaukee, WI",X,,
"Monroe, IA",X,,
"Mt. Pleasant, IA",X,,
"Muscatine, IA",X,,
"New Orleans, LA",X,,X
"North Platte, NE",X,,
"Ogallala, NE",X,,
"Oklahoma City, OK",X,,
"Omaha, NE",X,,
"Orleans, IN",X,,
"Osceola, IA",X,,
"Oskaloosa, IA",X,,
"Ottumwa, IA",X,,
"Peru, IN",X,,
"Princeton, IN",X,,
"Rochester, IN",X,,
"South Bend, IN",X,,
"St. Louis, MO",X,,
"Sterling, CO",X,,
"Tulsa, OK",X,,
"Vincennes, IN",X,,
"Washington, IN",X,,
"Wichita Falls Jolly, TX",X,,
"Yazoo City, MS",X,,X
