Intersection,Volume Class,Average Crash Frequency,Average Crash Rate,Average EPDO Index*
"1st St & Green St, Champaign",A,13,1.6,4.7
"Mattis Ave & Bradley Ave, Champaign",A,15,1.1,5.5
"Mattis Ave & Springfield Ave, Champaign",A,14,0.9,3.3
"Neil St & Green St, Champaign",A,12,1,4.5
"Neil St & Kirby Ave, Champaign",A,14,1,5
"Prospect Ave & Bloomington Rd, Champaign",A,20,1.4,4.5
"State St & Kirby Ave, Champaign",A,11,1.2,3.9
"Vine St & University Ave, Urbana",A,19,1.3,4.9
"Neil St & Columbia Ave, Champaign",B,10,1.5,5.3
"Randolph St & Church St, Champaign",B,5,1,3.4
"Guardian Dr & University Ave, Urbana",B,6,1,3.2
"Moreland Blvd & Town Center Blvd, Champaign",C,3,0.6,1.2
"High Cross Rd & Tatman Ct, Urbana",C,2,0.6,1.8
