Name,# Trucks
3M Trucking,1
AAAV Trucking Inc.,1
ADA Trucking Services Inc.,1
All-Ways-Ready-Trucking Inc.,1
Armstrong Trucking,1
Associated Transfer and Storage Inc.,20
Ayala Trucking Inc.,1
Bates Trucking Co.,4
Beebe Trucking,5
Box & Crate Inc.,1
C T Trucking Specialist Inc.,1
Carter Construction Services Inc.,2
Chris Doenitz,1
Christy Freight Lines LLC,1
Clapper Trucking,1
Community Resource Inc.,5
CU Moving,1
CU There LLC,4
Custom Service Crane Inc.,9
Daves Trucking,1
David Sutton,1
Express Relocation Van Line Inc.,1
EXT Acquisition Company Inc.,40
F&F Trucking LLC,6
Federal O'Byrne Moving & Storage LLC,7
Flex-N-Gate Corporation,25
Gayle Frerichs Trucking LLC,39
Grand Prairie Cooperative,7
Harold Early,2
Heller Trucking Inc.,1
Industrial Surfacing Solutions LLC,4
Ivan Winfrey,1
JCW Trucking Inc.,5
Jay Farms II,1
Johnson's Trucking,5
Jones Trucking Inc.,24
KBS Logistics Inc.,1
Ken McKenry,1
Kevin Mitchaner Trucking,4
Koby Jones Trucking,1
Lex Express Inc.,20
LMJ Transportation Inc.,17
Lorrico Inc.,8
LTJ3 VIP Tours & Shuttle Service,3
Marla Hutcherson,1
Maurice Transport Company Inc.,3
McCormick Distributing & Service Inc.,7
Mello Carriers Inc.,1
Michael Bushman Trucking Inc.,16
Michael Poor,2
MidAmerica Transportation Services Inc.,134
Midstate Container Express Inc.,9
Midwest Logistics Inc.,1
MPS Enterprises Inc.,7
MTB Trucking Inc.,5
My College Storage LLC,1
No Lemon Delivery,3
NWS Illinois LLC,25
O'Brien Auto Park of Urbana,2
Orange and Blue Distribution Inc.,8
Parkhills' Tours Inc.,1
Pepsi Cola Champaign-Urbana Bottling Company,2
Pierre Trucking Company,1
Quick Leasing,1
Reynolds Towing Service Inc.,1
Roadready Inc.,3
Robert Mack,2
Servco Equipment & Supplies,1
Siuts Trucking,1
Sm Marina Trans,1
Steve Anderson Trucking Inc.,4
Steve Gilbert Trucking,9
Steve Street Trucking,1
Strehlow Trucking,1
Summers Trucking,2
Tatman's Towing,9
Tim Wood,2
Timothy L Good,1
Tipsord Transport,1
Tom Franey Trucking Inc.,17
Twana Trucking Inc.,1
Twin City Movers Inc.,1
Two Men and a Truck Central Illinois,4
Valumax Transport,1
Vienna Express Inc.,1
Waddell Trucking LTD,1
Wat Trucking LLC,1
Woodworth and Sons Inc.,42
Xtreme Transportation,29
Z Brothers Trucking Inc.,1
Zehr Trucking Inc.,1
Total,655
