Agency/Fund Type,Revenues,Expenditures,Balance
Federal Total,"$446,399,353 ","$122,021,800 ","$324,377,552 "
Transit,"$90,000,000 ","$90,000,000 ",$0 
STP-U,"$49,898,421 ","$7,150,000 ","$42,748,421 "
Non STP-U,"$306,500,931 ","$24,871,800 ","$281,629,131 "
State Total,"$167,399,194 ","$12,801,250 ","$154,597,944 "
Champaign County,"$1,100,000 ","$1,100,000 ",$0 
City of Champaign,"$233,426,138 ","$206,042,210 ","$27,383,928 "
City of Urbana,"$59,800,000 ","$59,800,000 ",$0 
Village of Savoy,"$36,441,100 ","$36,228,828 ","$212,272 "
Village of Tolono,"$1,800,000 ","$1,800,000 ",$0 
Village of Bondville,$0 ,$0 ,$0 
Mass Transit District,"$977,900,000 ","$977,900,000 ",$0 
University of Illinois,"$740,000 ","$740,000 ",$0 
Willard Airport,"$62,500,000 ","$62,500,000 ",$0 
Private,$0 ,$0 ,$0 
Total,"$1,987,505,785 ","$1,480,934,088 ","$506,571,696 "
