Fiscal Year,Project,From,To,Total Cost,Notes
2015,Airport Road West,Willow Road ,Cunningham Avenue,"$3,145,902 ",Street Maintenance
2015,Bridge Maintenance,Various Locations,,"$22,500 ",
2015,Broadway Avenue,N Of Stebbins Drive,Oakland Ave,"$600,000 ",
2015,Cunningham Ave Beautification,,,"$185,000 ","Streetscape, Landscape, Public Art"
2015,Lincoln Avenue Engineering,Extension To Olympian Drive,,"$220,000 ",
2015,Lincoln Avenue Street Maintenance,570Ft S of Killarney,N of Saline Court,"$1,840,000 ",Street Maintenance 
2015,Olympian Drive Construction,CNRR,Lincoln Avenue,"$12,939,100 ",
2015,Bike Lane Striping Maintenance,,,"$55,000 ",
2015,Brick Sidewalks Various Locations,,,"$50,000 ",
2016,Bridge Maintenance ,Various Locations,,"$22,500 ",
2016,Cunningham Ave Beautification,,,"$185,000 ","Streetscape, Landscape, Public Art"
2016,Cunningham Ave Beautification,,,"$20,000 ",Curb Cuts
2015,Concrete Sidewalks ,Various Locations,,"$50,000 ",
2016,Fairlawn Drive Resurfacing,Vine Street,Anderson Street,"$400,000 ",
2016,Lincoln Avenue Resurfacing,Western Avenue ,University Avenue,"$650,000 ",
2016,Mumford Drive Resurfacing,W of Zuppke Drive,Anderson Street,"$250,000 ",
2016,Springfield Avenue Resurfacing ,Gregory Street ,Coler Avenue,"$310,000 ",
2016,Bike Lane Striping Maintenance,,,"$55,000 ",
2016,Brick Sidewalks Various Locations,,,"$50,000 ",
2016,Bridge Maintenance ,Various Locations,,"$22,500 ",
2017,Cunningham Ave Beautification,,,"$185,000 ","Streetscape, Landscape, Public Art"
2017,Cunningham Ave Beautification,,,"$20,000 ",Curb Cuts
2017,Springfield Avenue Reconstruction ,Coler Avenue ,Mccullough Street,"$750,000 ",
2017,Vine Street Resurfacing,S of Washington Street ,N of California Avenue,"$350,000 ",
2017,Bike Lane Striping Maintenance,,,"$55,000 ",
2017,Brick Sidewalks Various Locations,,,"$50,000 ",
2017,Bridge Maintenance ,Various Locations,,"$22,500 ",
2018,Green Street Resurfacing,Wright Street ,Gregory Street,"$720,000 ",
2018,Bike Lane Striping Maintenance,,,"$55,000 ",
2018,Brick Sidewalks Various Locations,,,"$50,000 ",
2018,Bridge Maintenance ,Various Locations,,"$22,500 ",
2018,Goodwin Avenue Reconstruction,S of Clark Street,University Avenue,"$350,000 ",
2018,Green Street Reconstruction,McCullough Street,Race Street,"$980,000 ",
