Fiscal Year,Project,From,To,Notes
2015-2019,Bradley Avenue Bike Lane,Lincoln Ave,Goodwin Ave,
2015-2019,Kickapoo Rail Trail,"Main St, St. Joseph",High Cross Rd (IL 130),Rail-Trail to Danville
2015-2019,Race Street Bike Lane,Elm St,S of Illinois St,Road Diet + Paint a widened median
2015-2019,Boneyard Creek Path,Broadway Ave,Griggs St,Five Points to Downtown
2015-2019,Market Street Bike Lane,Olympian Dr,Market Place Mall,Additional width
2015-2019,Devonshire Drive Bike Lane,Fox Dr,Prospect Ave,
2015-2019,IL 47 N Path,Briarcliff Dr,Lake of the Woods Path,
2015-2019,First Street Bike Lane,Gregory Dr,Kirby Ave,Trail exists on W side
2015-2019,Fourth Street Bike Lane,Gregory Dr,Kirby Ave,
2015-2019,Fourth Street Bike Lane,Kirby Ave,St. Mary’s Rd,Road Diet
2015-2019,Green Street Bike Lane,Fourth St,First St,Lane reduction
2015-2019,Pennsylvania Avenue Bike Lane,Champaign limits,Fourth St,
2015-2019,Market Street Bike Lane,Ford Harris Rd,Champaign limits,Additional width
2015-2019,Bradley Avenue Bike Lane,Goodwin Ave,Carver Dr,
2015-2019,Prospect Avenue Bike Lane,Windsor Rd,Champaign City Limit,Additional width needed
2015-2019,Fox Drive Bike Route,State St,Devonshire Dr,
2015-2019,Curtis Road Multi-Use Trail,Duncan Rd,Staley Rd,
2015-2019,Market Street Bike Lane,Champaign limits,Olympian Dr,Additional width
2015-2019,IL 47 N Path,I-74 S ramp,Franklin St,
2015-2019,Future Olympian Drive Extension Sidepath,Street terminus,Duncan Rd,Both sides of street
2015-2019,Prospect Avenue Complete Street Reconstruction,City limits,Curtis Rd,
2015-2019,US 45 East Sidepath,Kenyon Rd,Perkins Rd,
