Fiscal Year,Project,From,To,"Total Cost (in 1,000’s)",Notes
2015,Asphalt Overlay 2014,Various,,"$1,087.09 ",Rehabilitate Asphalt Streets
2015,2014 Local Street Rehab - Asphalt,Various,,$367.86 ,Rehabilitate Asphalt Streets
2015,Asphalt Overlay 2015,Various,,$45.70 ,Rehabilitate Asphalt Streets
2015,2015 Local Street Rehab - Asphalt,Various,,$6.00 ,Rehabilitate Asphalt Streets
2015,Green Street Improvements,First St,Fourth St,$406.09 ,Street Reconstruction
2015,PCC Patching 2014,Various,,$693.73 ,Rehabilitate Concrete Streets
2015,PCC Patching 2015,Various,,$186.00 ,Rehabilitate Concrete Streets
2015,Stratton Neil Street SRTS Project,Kenyon Rd,North St,$7.53 ,"Pedestrian crossing improvements, sidewalk construction"
2015,Windsor Road Complete Street Project,Eagle Ridge Rd,Briar Hill Dr,$50.00 ,"Bike lanes, sidewalks, lighting, retaining walls, pedestrian railings"
2015,Olympian Drive Extension West,Olympian Dr,Duncan Rd,"$1,875.00 ",Olympian Dr extension incl 10’ HMA shoulders and 10’ bikepath
2015,First Street UIUC Project,Gregory Dr,Kirby Ave,$170.00 ,Street Reconstruction
2015,Fourth Street UIUC Project,Kirby Ave,St. Mary’s Rd,$240.00 ,Street Reconstruction and Signal Replacement
2016,Asphalt Overlay 2015,Various,,$889.00 ,Rehabilitate Asphalt Streets
2016,2015 Local Street Rehab - Asphalt,Various,,$367.82 ,Rehabilitate Asphalt Streets
2016,Asphalt Overlay 2016,Various,,$240.40 ,Rehabilitate Asphalt Streets
2016,2016 Local Street Rehab - Asphalt,Various,,$6.00 ,Rehabilitate Asphalt Streets
2016,Green Street Improvements,First St,Fourth St,"$6,002.85 ",Street Reconstruction
2016,PCC Patching 2015,Various,,$647.00 ,Rehabilitate Concrete Streets
2016,PCC Patching 2016 - 2024,Various,,$197.35 ,Rehabilitate Concrete Streets
2016,First Street UIUC Project,Gregory Dr,Kirby Ave,"$1,080.00 ",Street Reconstruction
2016,Fourth Street UIUC Project,Kirby Ave,St. Mary’s Rd,"$1,560.00 ",Street Reconstruction and Signal Replacement
2016,Pennsylvania Avenue UIUC Project,Fourth St,City Limit,$300.00 ,Street Reconstruction
2017,Asphalt Overlay 2016,Various,,$889.00 ,Rehabilitate Asphalt Streets
2017,2016 Local Street Rehab - Asphalt,Various,,$367.85 ,Rehabilitate Asphalt Streets
2017,2017 Local Street Rehab - Asphalt,Various,,$6.00 ,Rehabilitate Asphalt Streets
2017,Asphalt Overlay 2017,Various,,$240.40 ,Rehabilitate Asphalt Streets
2017,PCC Patching 2016 - 2024,Various,,$844.35 ,Rehabilitate Concrete Streets
2017,Pennsylvania Avenue UIUC Project,Fourth St,City Limit,"$1,920.00 ",Street Reconstruction
2018,Asphalt Overlay 2017,Various,,$889.00 ,Rehabilitate Asphalt Streets
2018,Annual Local Street Rehab - Asphalt,Various,,$373.85 ,Rehabilitate Asphalt Streets
2018,Asphalt Overlay 2018,Various,,$240.40 ,Rehabilitate Asphalt Streets
2018,PCC Patching 2016 - 2024,Various,,$844.35 ,Rehabilitate Concrete Streets
2018,Prospect Avenue Reconstruction,Curtis Rd,Windsor Rd,"$2,180.00 ",Complete Street Engineering and  Reconstruction
