Fiscal Year,Project,From,To,Total Cost ,
"(in 1,000’s)",Notes,,,,
2015,2015 Street Reconstruction/Resurfacing,Various Locations,,"$2,321.25 ",Reconstruct/Resurface various streets
2015,2015 Pavement Patching,Various Locations,,$595.00 ,Patch various asphalt and concrete streets
2015,2015 Pavement Preservation,Various Locations,,$100.00 ,Preserve and seal various streets
2015,"Bicycle Master Plan bike lanes, routes, signage, sidepaths",Various Locations,,$55.00 ,Instal Bicycle Master Plan bike lanes and routes
2015,Airport Road West Reconstruction,Willow Rd,Cunningham Ave,"$3,145.90 ",Street reconstruction/signal modernization
2015,Windsor Road Reconstruction,Race St,Philo Rd,"$4,700.00 ",Street Reconstruction Sec 13-00540-00PV
2015,Olympian Drive Extension West,Olympian Dr,Duncan Rd,"$1,875.00 ",Olympian Dr extension incl shoulders and bikepath
2015,Broadway Avenue Reconstruction,N of Stebbins Dr,Oakland Ave,$600.00 ,Street reconstruction
2016,2016 Street Reconstruction/Resurfacing,Various Locations,,"$1,810.00 ",Reconstruct/Resurface various streets
2016,2016 Pavement Patching,Various Locations,,$400.00 ,Patch various asphalt and concrete streets
2016,2016 Pavement Preservation,Various Locations,,$200.00 ,Preserve and seal various streets
2016,"Bicycle Master Plan bike lanes, routes, signage, sidepaths",Various Locations,,$55.00 ,Instal Bicycle Master Plan bike lanes and routes
2016,North Lincoln Avenue Construction,Saline Ct,Olympian Dr,"$3,600.00 ","Roadway extension, median shoulder, outside curb & gutter"
2017,2017 Street Reconstruction/Resurfacing,Various Locations,,"$1,200.00 ",Reconstruct/Resurface various streets
2017,2017 Pavement Patching,Various Locations,,$350.00 ,Patch various asphalt and concrete streets
2017,2017 Pavement Preservation,Various Locations,,$200.00 ,Preserve and seal various streets
2017,"Bicycle Master Plan bike lanes, routes, signage, sidepaths",Various Locations,,$55.00 ,Instal Bicycle Master Plan bike lanes and routes
2018,2018 Street Reconstruction/Resurfacing,Various Locations,,"$1,220.00 ",Reconstruct/Resurface various streets
2018,2018 Pavement Patching,Various Locations,,$350.00 ,Patch various asphalt and concrete streets
2018,2018 Pavement Preservation,Various Locations,,$150.00 ,Preserve and seal various streets
2018,"Bicycle Master Plan bike lanes, routes, signage, sidepaths",Various Locations,,$55.00 ,Instal Bicycle Master Plan bike lanes and routes
